date,nb_deputes,nb_senateurs,nb_soutiens
2020-07-09T11:37:04.303771,47,7,263581
2020-07-09T12:17:29.377701,47,7,263938
2020-07-09T12:37:06.842817,47,7,264126
2020-07-09T13:13:08.028923,47,7,264381
2020-07-09T13:36:47.016536,48,8,264547
2020-07-09T14:14:27.111580,50,8,264794
2020-07-09T14:36:43.908450,50,8,264945
2020-07-09T15:13:32.523209,50,8,265179
2020-07-09T15:36:58.283733,50,8,265353
2020-07-09T16:14:18.301421,50,8,265605
2020-07-09T16:36:48.457763,50,8,265753
2020-07-09T17:13:43.914398,50,8,265967
2020-07-09T17:37:02.188532,50,8,266113
2020-07-09T18:14:37.659868,59,8,266336
2020-07-09T18:36:51.083724,59,8,266507
2020-07-09T19:11:36.389129,59,8,266713
2020-07-09T19:36:55.223649,59,8,266856
2020-07-09T20:15:45.301790,59,8,267115
2020-07-09T20:36:50.920388,59,8,267274
2020-07-09T21:12:59.645443,59,8,267520
2020-07-09T21:37:07.400782,59,8,267729
2020-07-09T22:13:03.323981,59,8,267943
2020-07-09T22:36:52.775449,59,8,268063
2020-07-09T23:12:49.292202,59,8,268183
2020-07-09T23:36:47.738677,59,8,268222
2020-07-10T00:37:59.792673,59,8,268290
2020-07-10T01:14:42.306512,59,8,268311
2020-07-10T01:36:50.005343,59,8,268317
2020-07-10T02:15:06.351301,59,8,268333
2020-07-10T02:37:15.132413,59,8,268343
2020-07-10T03:13:41.484380,59,8,268367
2020-07-10T03:37:19.320149,59,8,268389
2020-07-10T04:14:35.263487,60,8,268435
2020-07-10T04:37:07.941621,60,8,268503
2020-07-10T05:12:57.287963,60,8,268784
2020-07-10T05:37:05.919397,60,8,268988
2020-07-10T06:14:55.417537,60,8,269574
2020-07-10T06:37:03.750407,60,8,272117
2020-07-10T07:13:24.981226,60,8,273044
2020-07-10T07:37:04.725715,60,8,273396
2020-07-10T08:15:21.046466,60,8,273998
2020-07-10T08:36:59.430629,60,8,274329
2020-07-10T09:13:46.625014,60,8,274932
2020-07-10T09:36:54.352492,60,8,275323
2020-07-10T10:13:47.163474,60,8,276788
2020-07-10T10:36:55.595963,60,9,277152
2020-07-10T11:12:52.876267,60,9,277692
2020-07-10T11:36:51.717642,60,9,278029
2020-07-10T12:19:45.835458,60,9,278588
2020-07-10T12:36:54.864603,60,9,278764
